Список заявок на 02:26 28.11.23;;;;;;;;;;;;;;;;;;;;
№ свой;№ чужой;Предприятие;Комплекс;;Состояние заявки;Объект;Оборудование;Оборудование, выводимое в ремонт;Состояние оборудования по заявке;Программа переключений ;Актуализация;Разрешенное время - начало ;Разрешенное время -  конец;Просимое время - начало;Ремонт;Категория;Просрочена;А\Г;Заземление;Условия производства
12323;20603;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Центральная;СДТУ направления Ленинградское РДУ – ПС 330 кВ Центральная;;без отключения;П 2023-АСУ-2;;16:00 17.11.23;16:00 24.11.23;16:00 17.11.23;П;ПЛ;да;01:00;; 
12329;20611;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 220 кВ Чесменская;СДТУ направления Ленинградское РДУ – ПС 220 кВ Чесменская;;с отключением;П 2023-АСУ-2;;16:00 17.11.23;16:00 24.11.23;16:00 17.11.23;П;ПЛ;да;01:00;;без отключения ЛЭП (оборудования)
12251;4240;Балтийское РДУ;СДТУ.СДТУ Н;;Открытая;Калининградская ТЭЦ-2;СДТУ направления Балтийское РДУ – Калининградская ТЭЦ-2;;без отключения;Пусто;;10:00 16.11.23;10:00 20.02.24;10:00 16.11.23;ЗРР;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12104;943;Ленинградская АЭС;ЭНРГ.Б;;Открытая;Ленинградская АЭС;Блок 5;;с отключением;"Пусто Программа: технологический регламент РГ.1723.СТУ.16.
Инструкция по эксплуатации ТГ 1.ИЭ.2344.ТЦ20.";;00:00 16.11.23;24:00 30.11.23;00:00 16.11.23;АР;АВ;;ВЗ;; 
12161;4281;Балтийское РДУ;СДТУ.СДТУ Н;;Открытая;Балтийское РДУ;СДТУ направления Балтийское РДУ – Litgrid AB;;с отключением;Пусто;;01:00 14.11.23;01:00 12.12.23;01:00 14.11.23;АР;АВ;;ВЗ;; 
11784;5072;Архангельское РДУ;ЭНРГ.Б;;Открытая;Северодвинская ТЭЦ-2;Блок 2;;с отключением;Пусто;;08:01 13.11.23;24:00 03.12.23;08:01 13.11.23;СР;ПЛ;;ВЗ;; 
11721;1080;Киришская ГРЭС;ЭНРГ.Б;;Открытая;Киришская ГРЭС;Блок 4;;с отключением;Пусто;;00:01 13.11.23;24:00 11.03.24;00:01 13.11.23;КР;ПЛ;;ВЗ;; 
11984;5160;Архангельское РДУ;ЭНРГ.ТГ;;Открытая;Северодвинская ТЭЦ-1;3Г;;с отключением;Пусто;;01:01 11.11.23;24:00 30.11.23;01:01 11.11.23;ХР;НПЛ;;ВЗ;; 
12080;20183;Ленинградское РДУ;РЗА.РА.НПРЧ;;Открытая;ЭС-1 Центральной ТЭЦ;НПРЧ Г-1;;с отключением;Пусто;да;19:01 10.11.23;24:00 30.11.23;19:01 10.11.23;НГ;НО;;ВЗ;; 
12082;20184;Ленинградское РДУ;РЗА.РА.НПРЧ;;Открытая;ЭС-1 Центральной ТЭЦ;НПРЧ Г-2;;с отключением;Пусто;да;19:01 10.11.23;24:00 30.11.23;19:01 10.11.23;НГ;НО;;ВЗ;; 
11720;1079;Киришская ГРЭС;ЭНРГ.Б;;Открытая;Киришская ГРЭС;Блок 5;;с отключением;Пусто;;00:01 10.11.23;24:00 04.12.23;00:01 10.11.23;ТР;ПЛ;;ВЗ;; 
11844;20554;ОДУ Центра;ЛЭП.ЛЭП 750 кВ;;Открытая;ГПО «Белэнерго»;ВЛ 750 кВ Смоленская АЭС – Белорусская (Л-707);;с отключением;П;да;08:00 08.11.23;23:59 31.12.23;08:00 08.11.23;ТР;ПЛ;;04:00;Да;под наведенным напряжением
11957;4218;Балтийское РДУ;ЭНРГ.Б;;Открытая;Калининградская ТЭЦ-2;Блок 1;Г-11 (ГТУ-11) Блок 1;с отключением;Пусто;;19:57 07.11.23;23:59 30.11.23;19:57 07.11.23;АР;АВ;;ВЗ;; 
11713;6068;Карельское РДУ;РЗА.ПА;;Открытая;РП 330 кВ Каменный Бор;ЛАДВ 1 комплект РП 330 кВ Каменный Бор ;;с отключением;ТП №_РЗ-ЛАДВ-Каменный Бор-1 от 14.08.23;;11:30 07.11.23;24:00 01.12.23;08:00 07.11.23;ВП;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
11765;19218;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Разрешенная;Ленинградское ПМЭС;КВЛ 330 кВ Копорская – Пулковская;;без отключения;Пусто;;08:30 07.11.23;16:00 30.11.23;08:30 07.11.23;ЗРР;ПЛ;;01:00;; 
11550;4475;Коми РДУ;ЭНРГ.ТГ;;Открытая;Сосногорская ТЭЦ;ТГ-3;;с отключением;Пусто;;00:01 07.11.23;24:00 30.11.23;00:01 07.11.23;ТР;ПЛ;;ВЗ;; 
11575;6018;Новгородское РДУ;ЭНРГ.Б;;Открытая;Новгородская ТЭЦ;Блок 1;;с отключением;Пусто;;00:00 06.11.23;24:00 30.11.23;00:00 06.11.23;ТР;ПЛ;;ВЗ;; 
11849;4609;Коми РДУ;ЭНРГ.ТГ;;Открытая;Воркутинская ТЭЦ-2;ТГ-1;;с отключением;Пусто;;00:01 04.11.23;24:00 30.11.23;00:01 04.11.23;ХР;НПЛ;;ВЗ;; 
11938;6185;Новгородское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Юго-Западная;СДТУ направления Новгородское РДУ – ПС 330 кВ Юго-Западная;"Мультиплексор UMUX-1500 NE 100586;
Мультиплексор ABB FOX-515 ПС 330 кВ Юго-Западная";с отключением;Пусто;;00:00 04.11.23;24:00 30.11.23;00:00 04.11.23;ВПр;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
11881;364650;Litgrid AB;РЗА.РЗ;;Открытая;Литовская ЭС;ДФЗ-504 ВЛ 330 кВ Литовская ЭС – Советск-330  (ВЛ-308\447);;с отключением;П;;16:00 03.11.23;17:30 05.12.23;16:00 03.11.23;АР;НО;;ВЗ;;без отключения ЛЭП (оборудования)
11898;4195;Балтийское РДУ;РЗА.РЗ;;Открытая;ПС 330 кВ Советск-330;ДФЗ ВЛ 330 кВ Круонио ГАЭС – Советск-330 (ВЛ-447) (ДФЗ-504);;с отключением;П;;16:00 03.11.23;18:00 05.12.23;16:00 03.11.23;ВПр;НО;;ВЗ;;без отключения ЛЭП (оборудования)
11664;5070;Архангельское РДУ;ЭНРГ.Б;;Открытая;Северодвинская ТЭЦ-2;Блок 1;;с отключением;Пусто;;14:01 01.11.23;24:00 30.11.23;14:01 01.11.23;ХР;НПЛ;;ВЗ;; 
11668;313;Северо-Западная ТЭЦ;ЭНРГ.Б;;Открытая;Северо-Западная ТЭЦ;Блок 2;"Г-5 (ГТУ-21) Блок 2;
Г-6 (ГТУ-22) Блок 2;
Г-4 (ПТ-20) Блок 2";без отключения;Пусто;;00:01 01.11.23;24:00 30.11.23;00:01 01.11.23;ОГР;НПЛ;;ВЗ;; 
11179;19769;МЭС Северо-Запада;ЭЛТ.СКРМ.СК.СК 15,75 кВ;;Открытая;ПС 400 кВ Выборгская;СК-3;;с отключением;Б;;00:00 01.11.23;24:00 31.12.23;00:00 01.11.23;ВПр;ПЛ;;08:00;; 
11180;19768;МЭС Северо-Запада;ЭЛТ.Прочее ЭЛТ;;Открытая;ПС 400 кВ Выборгская;Технологическое оборудование, определяющее режим и пропускную способность ВПК;;с отключением;Б;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ВПр;ПЛ;;04:00;; 
11181;19767;МЭС Северо-Запада;ЭЛТ.Прочее ЭЛТ;;Открытая;ПС 400 кВ Выборгская;Технологическое оборудование, определяющее режим и пропускную способность ВПК;;с отключением;Б;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ВПр;ПЛ;;ВЗ;; 
11182;19771;МЭС Северо-Запада;ЭЛТ.СКРМ.БК.БК 35 кВ;;Открытая;ПС 400 кВ Выборгская;ДКБ ТИ-4;;с отключением;Б;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ВПр;ПЛ;;ВЗ;; 
11183;19772;МЭС Северо-Запада;ЭЛТ.СКРМ.БК.БК 35 кВ;;Открытая;ПС 400 кВ Выборгская;ДКБ ТИ-3;;с отключением;Б;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ВПр;ПЛ;;ВЗ;; 
11185;19773;МЭС Северо-Запада;ЭЛТ.СКРМ.БК.БК 35 кВ;;Открытая;ПС 400 кВ Выборгская;ДКБ ТВ-4;;с отключением;Б;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ВПр;ПЛ;;ВЗ;; 
11406;4427;Коми РДУ;ЭЛТ.В.В 220 кВ;;Открытая;Печорская ГРЭС;В РТСН-2;;с отключением;ТБ № 83,84 от 08.06.2023;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;РЕК;ПЛ;;11;; 
11463;18792;Ленинградское РДУ;РЗА.ПА;;Открытая;ПС 400 кВ Выборгская;УФСМ-400 кВ;;с отключением;Б;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ВПр;ПЛ;;04:00;;без отключения ЛЭП (оборудования)
11530;6186;Кольское РДУ;ЭНРГ.Б;;Открытая;Кольская АЭС;Блок 1;ТГ-2;с отключением;П  2ТЭП-02 от 05.05.2016;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ХР;НПЛ;;ВЗ;; 
11569;4539;Коми РДУ;ЭНРГ.ТГ;;Открытая;Воркутинская ТЭЦ-2;ТГ-4;;с отключением;Пусто;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ХР;НПЛ;;ВЗ;; 
11570;4541;Коми РДУ;ЭНРГ.ТГ;;Открытая;Воркутинская ТЭЦ-2;ТГ-2;;с отключением;Пусто;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ХР;НПЛ;;ВЗ;; 
11674;6053;Новгородское РДУ;ЭНРГ.ТГ;;Открытая;Новгородская ТЭЦ;ТГ-3;;без отключения;Пусто;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ЗРР;НПЛ;;ВЗ;; 
11679;19450;Ленинградское РДУ;ЭНРГ.Б;;Открытая;Южная ТЭЦ (ТЭЦ-22);Блок 2;;с отключением;Пусто;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ХР;НПЛ;;ВЗ;; 
11696;20380;ОДУ Центра;ЭЛТ.В.В 330 кВ;;Открытая;ПС 330 кВ Талашкино;В 330;;с отключением;Б;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ТР;НПЛ;;06:00;;с разборкой токовых цепей
11709;2028;Elering AS;ЛЭП.ЛЭП 330 кВ;;Открытая;Elering AS;ВЛ 330 кВ Харку – Синди (Л 503);;с отключением;П;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;РЕЗ;НПЛ;;00:10;; 
11710;0;ОДУ Северо-Запада;ЭЛТ.Прочее ЭЛТ;;Открытая;ОДУ Северо-Запада;Ограничение режима ОЭС Северо-Запада;;без отключения;Пусто;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;ЗРР;НПЛ;;00:10;; 
11770;20469;ОДУ Центра;СДТУ.СДТУ Н;;Открытая;Костромская АЭС;СДТУ направления Костромское РДУ – Костромская АЭС;;с отключением;Пусто;;00:00 01.11.23;24:00 30.11.23;00:00 01.11.23;Н;НПЛ;;01:00;;без отключения ЛЭП (оборудования)
11628;19280;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Открытая;Ленинградское ПМЭС;ВЛ 330 кВ Ленинградская АЭС – Восточная;;без отключения;Пусто;;19:15 31.10.23;19:15 30.11.23;19:15 31.10.23;ЗРР;ПЛ;;00:30;; 
11772;19664;Ленинградское РДУ;РЗА.ПА;;Открытая;ПС 400 кВ Выборгская;АРО 330 кВ;;с отключением;ТП ОДУ С-З от 15.02.2018 №188.1.ПА /№188.2.ПА;;19:00 31.10.23;20:00 29.12.23;19:00 31.10.23;ВПр;НПЛ;;00:15;;без отключения ЛЭП (оборудования)
11737;315;Северо-Западная ТЭЦ;РЗА.РЗ;;Открытая;Северо-Западная ТЭЦ;ВЧЗ ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская (ПДЭ 2802);;с отключением;ТП ОДУ Северо-Запада №60.1.РЗ от 28.02.2017/60.2.РЗ от 28.02.2017;;08:00 31.10.23;24:00 25.11.23;08:00 31.10.23;ВПр;НПЛ;;00:30;; 
11673;6054;Новгородское РДУ;ЭНРГ.ТГ;;Открытая;Новгородская ТЭЦ;ТГ-2;;с отключением;Пусто;;00:01 31.10.23;24:00 30.11.23;00:01 31.10.23;ХР;НПЛ;;ВЗ;; 
11580;5946;Новгородское РДУ;ЭНРГ.Б;;Открытая;Псковская ГРЭС;Блок 1;;с отключением;Пусто;;23:01 30.10.23;24:00 30.11.23;23:01 30.10.23;ХР;НПЛ;;ВЗ;; 
11536;19389;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Открытая;Ленинградское ПМЭС;КВЛ 330 кВ Ленинградская – Кингисеппская;;без отключения;Пусто;;17:00 26.10.23;19:50 30.11.23;17:00 26.10.23;ЗРР;НО;;01:00;; 
11316;4477;Коми РДУ;ЭНРГ.ТГ;;Открытая;Воркутинская ТЭЦ-2;ТГ-6;;с отключением;Пусто;;00:01 25.10.23;24:00 30.11.23;00:01 25.10.23;ХР;НПЛ;;ВЗ;; 
11167;18315;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Открытая;Киришская ГРЭС;ВЛ-387;;с отключением;Б;да;08:00 23.10.23;20:00 08.12.23;08:00 23.10.23;КР;ПЛ;;ВЗ;;с отключением токовых цепей
11346;18992;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Разрешенная;Киришская ГРЭС;ВЛ 330 кВ Киришская ГРЭС – Сясь;;без отключения;П 114|136, 115/137 от 24.10.2023;;08:00 23.10.23;20:00 08.12.23;08:00 23.10.23;ЗРР;НПЛ;;00:10;;не в транзите
11117;19399;ОДУ Центра;ЛЭП.ЛЭП 750 кВ;;Открытая;ПС 750 кВ Белорусская;ВЛ 750 кВ Смоленская АЭС – Белорусская (Л-707);;с отключением;П;;14:00 20.10.23;23:59 31.12.23;00:00 20.10.23;ТР;ПЛ;;ВЗ;;под наведенным напряжением
10868;4368;Коми РДУ;ЭНРГ.ТГ;;Открытая;Сосногорская ТЭЦ;ТГ-4;;с отключением;Пусто;;16:01 13.10.23;24:00 30.11.23;16:01 13.10.23;ХР;НПЛ;;ВЗ;; 
10516;4129;Коми РДУ;ЭНРГ.ТГ;;Открытая;Сосногорская ТЭЦ;ТГ-6;;с отключением;Пусто;;00:01 10.10.23;24:00 12.12.23;00:01 10.10.23;КР;ПЛ;;ВЗ;; 
10440;17316;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Разрешенная;Ленинградское ПМЭС;ВЛ 330 кВ Северо-Западная ТЭЦ – Зеленогорск;;без отключения;Пусто;;09:00 06.10.23;19:15 30.11.23;09:00 06.10.23;ЗРР;ПЛ;;00:30;; 
10565;36018;ЦДУ;ЭНРГ.Б;;Открытая;Белорусская АЭС;Блок № 1;;с отключением;Пусто;;08:00 06.10.23;07:30 20.12.23;08:00 06.10.23;ТР;ПЛ;;ВЗ;; 
10340;17178;Ленинградское РДУ;ЭЛТ.Р.РШ.РШ 10 кВ;;Открытая;ПС 330 кВ Кингисеппская;Р-1-10;;с отключением;Б;;00:00 01.10.23;24:00 30.11.23;00:00 01.10.23;ВПр;НПЛ;;ВЗ;; 
8754;3606;Архангельское РДУ;ЭНРГ.ТГ;;Открытая;Архангельская ТЭЦ;2ТГ;;с отключением;Пусто;;08:01 01.09.23;24:00 30.11.23;08:01 01.09.23;КР;ПЛ;;ВЗ;; 
7992;4325;Кольское РДУ;ЭНРГ.ГГ;;Открытая;Серебрянская ГЭС-15;ГГ-3;;с отключением;Б;;00:01 21.08.23;24:00 06.04.24;00:01 21.08.23;КР;ПЛ;;ВЗ;; 
8052;4324;Карельское РДУ;СДТУ.СДТУ Н;;Открытая;Ондская ГЭС (ГЭС-4);СДТУ направления Карельское РДУ – Ондская ГЭС (ГЭС-4);;с отключением;Пусто;;17:00 11.08.23;24:00 30.11.23;17:00 11.08.23;ВП;НО;;ВЗ;;без отключения ЛЭП (оборудования)
7370;12098;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Разрешенная;Ленинградское ПМЭС;КВЛ 330 кВ Копорская – Пулковская;;без отключения;Пусто;;08:00 02.08.23;24:00 31.12.23;08:00 02.08.23;ЗРР;ПЛ;;00:30;; 
7194;365980;Litgrid AB;ЛЭП.ЛЭП 330 кВ;;Открытая;Litgrid AB;ВЛ 330 кВ Клайпеда – Шиша (ВЛ 530);;с отключением;П;да;07:30 01.08.23;17:00 01.05.24;07:30 01.08.23;КР;ПЛ;;ВЗ;Да; 
6970;325960;Litgrid AB;ЛЭП.ЛЭП 330 кВ;;Открытая;Litgrid AB;ВЛ 330 кВ Утена – Поставы (ВЛ 452);;с отключением;Пусто;да;19:00 31.07.23;24:00 31.12.23;19:00 31.07.23;КР;НПЛ;;5;Да; 
7539;406088;Augstsprieguma tikls;ЛЭП.ЛЭП 330 кВ;;Открытая;Augstsprieguma tikls;ВЛ 330 кВ Броцени – Вискали (ВЛ 322);;с отключением;П;;08:00 31.07.23;08:00 30.12.23;08:00 31.07.23;РЕЗ;НПЛ;;00:25;; 
7544;406089;Augstsprieguma tikls;ЛЭП.ЛЭП 330 кВ;;Открытая;Augstsprieguma tikls;ВЛ 330 кВ Гробиня – Броцени (ВЛ 323);;с отключением;Пусто;;08:00 31.07.23;08:00 30.12.23;08:00 31.07.23;РЕЗ;НПЛ;;00:25;; 
7197;366350;Litgrid AB;ЛЭП.ЛЭП 330 кВ;;Открытая;ПС 330 кВ Шяуляй;ВЛ 330 кВ Шяуляй – Каунас (ВЛ 306);;без отключения;Пусто;да;09:00 28.07.23;18:00 29.04.24;09:00 28.07.23;ЗРР;НПЛ;;ВЗ;; 
7201;366350;Litgrid AB;ЛЭП.ЛЭП 330 кВ;;Открытая;ПС 330 кВ Шяуляй;ВЛ 330 кВ Вискали – Шяуляй/Тельшяй (ВЛ 305/457);;без отключения;Пусто;да;09:00 28.07.23;18:00 29.04.24;09:00 28.07.23;ЗРР;НПЛ;;ВЗ;; 
6668;2377;Балтийское РДУ;ЛЭП.ЛЭП 110 кВ;;Открытая;ЦУС Россети Янтарь;ВЛ 110 кВ О-5 Советск – Пагегяй (Л-104);;с отключением;П;да;18:00 12.07.23;18:00 31.12.23;18:00 12.07.23;РЕЗ;НПЛ;;00:10;; 
6670;2378;Балтийское РДУ;ЛЭП.ЛЭП 110 кВ;;Открытая;ЦУС Россети Янтарь;ВЛ 110 кВ О-5 Советск – Пагегяй (Л-105);;с отключением;П;да;18:00 12.07.23;18:00 31.12.23;18:00 12.07.23;РЕЗ;НПЛ;;00:10;; 
6470;364060;Litgrid AB;ЛЭП.ЛЭП 330 кВ;;Открытая;Litgrid AB;ВЛ 330 кВ Круонио ГАЭС – Алитус №1 (ВЛ 366);;с отключением;П;да;07:30 08.07.23;18:00 05.04.24;07:30 08.07.23;БВР;НПЛ;;ВЗ;Да; 
5456;9757;МЭС Северо-Запада;ЭЛТ.СКРМ.СК.СК 15,75 кВ;;Открытая;ПС 400 кВ Выборгская;СК-4;;с отключением;Б;;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;08:00;; 
5457;9758;МЭС Северо-Запада;ЭЛТ.СШ.СШ 400 кВ;;Открытая;ПС 400 кВ Выборгская;1ш 400 кВ;;с отключением;Б;;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5458;9759;МЭС Северо-Запада;ЭЛТ.СШ.СШ 400 кВ;;Открытая;ПС 400 кВ Выборгская;2ш 400 кВ;;с отключением;Б;;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5459;9760;МЭС Северо-Запада;ЭЛТ.СШ.СШ 400 кВ;;Открытая;ПС 400 кВ Выборгская;3ш 400 кВ;;с отключением;Б;;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5460;9762;МЭС Северо-Запада;ЭЛТ.СШ.СШ 400 кВ;;Открытая;ПС 400 кВ Выборгская;4ш 400 кВ;;с отключением;Б;;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5461;9769;МЭС Северо-Запада;ЭЛТ.ВУ.ВУ 400 кВ;;Открытая;ПС 400 кВ Выборгская;КВПУ-1;;с отключением;Б;;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5462;9771;МЭС Северо-Запада;ЭЛТ.ВУ.ВУ 400 кВ;;Открытая;ПС 400 кВ Выборгская;КВПУ-2;;с отключением;Б;да;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5463;9772;МЭС Северо-Запада;ЭЛТ.ВУ.ВУ 400 кВ;;Открытая;ПС 400 кВ Выборгская;КВПУ-3;;с отключением;Б;да;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5464;9775;МЭС Северо-Запада;ЭЛТ.ВУ.ВУ 400 кВ;;Открытая;ПС 400 кВ Выборгская;КВПУ-4;;с отключением;Б;да;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
5465;9776;МЭС Северо-Запада;ЭЛТ.АТ,Т.АТ,Т 400 кВ;;Открытая;ПС 400 кВ Выборгская;АТ-3;;с отключением;Б;да;00:00 01.07.23;24:00 31.12.23;00:00 01.07.23;ВПр;ПЛ;;04:00;; 
6248;161;Fingrid;ЛЭП.ЛЭП 400 кВ;;Открытая;Fingrid;ВЛ 400 кВ Выборгская – Кюми (ЛЛн-1);;с отключением;Пусто не требуется;;00:00 01.07.23;23:59 31.12.23;00:00 01.07.23;ВПр;АВ;;ВЗ;Да;под наведенным напряжением
6249;161;Fingrid;ЛЭП.ЛЭП 400 кВ;;Открытая;Fingrid;ВЛ 400 кВ Выборгская – Юлликкяля (ЛЛн-2);;с отключением;Пусто не требуется;да;00:00 01.07.23;23:59 31.12.23;00:00 01.07.23;ВПр;АВ;;ВЗ;Да;под наведенным напряжением
6250;161;Fingrid;ЛЭП.ЛЭП 400 кВ;;Открытая;Fingrid;ВЛ 400 кВ Выборгская – Юлликкяля (ЛЛн-3);;с отключением;Пусто не требуется;да;00:00 01.07.23;23:59 31.12.23;00:00 01.07.23;ВПр;АВ;;ВЗ;Да;под наведенным напряжением
5527;0;ОДУ Северо-Запада;ЭЛТ.В.В 330 кВ;;Открытая;Киришская ГРЭС;ВЛ-387;;с отключением;Пусто;да;00:00 19.06.23;24:00 31.12.23;00:00 19.06.23;РЕЗ;НПЛ;;ВЗ;; 
4992;106016;Augstsprieguma tikls;ЛЭП.ЛЭП 330 кВ;;Открытая;Augstsprieguma tikls;ВЛ 330 кВ Тсиргулийна – Валмиера (ВЛ 354);;с отключением;П;да;08:00 05.06.23;17:00 31.05.24;08:00 05.06.23;КР;ПЛ;;ВЗ;Да; 
4533;1489;Elering AS;ЛЭП.ЛЭП 330 кВ;;Открытая;Elering AS;ВЛ 330 кВ Виру – Тсиргулийна (ВЛ 353);;с отключением;ТП;да;08:00 03.06.23;18:00 15.12.24;08:00 03.06.23;КР;ПЛ;;ВЗ;Да; 
3495;357350;Litgrid AB;ЛЭП.ЛЭП 110 кВ;;Открытая;ПС 110 кВ Кибартай;ВЛ 110 кВ О-15 Нестеров – Кибартай (Л-130);;с отключением;ТП №31 по выводу в ремонт ВЛ 110 кВ О-15 Нестеров - Кибартай (Л-130) и ТПП №32 по вводу в работу ВЛ 110 кВ О-15 Нестеров - Кибартай (Л-130), утв. 20.02.2023г.;да;19:30 05.05.23;17:00 04.12.23;19:30 05.05.23;ВПр;ПЛ;;ВЗ;Да; 
3291;4610;Ленинградское РДУ;ЭНРГ.Б;;Открытая;Северная ТЭЦ (ТЭЦ-21);Блок 4;;с отключением;Пусто;;00:01 01.05.23;24:00 31.12.24;00:01 01.05.23;РЕК;ПЛ;;ВЗ;; 
2291;2928;Ленинградское РДУ;ЭНРГ.ТГ;;Открытая;Киришская ГРЭС;Г-1т;;с отключением;Пусто;;00:01 01.04.23;24:00 31.03.25;00:01 01.04.23;РЕК;ПЛ;;ВЗ;; 
559;742;Ленинградское РДУ;ЭЛТ.АТ,Т.АТ,Т 330 кВ;;Открытая;ПС 330 кВ Восточная;АТ-2;;без отключения;Б;;00:00 02.02.23;24:00 01.02.24;00:00 02.02.23;ЗРР;НПЛ;;ВЗ;; 
11379;334240;Litgrid AB;ЛЭП.ЛЭП 330 кВ;;Открытая;Litgrid AB;ВЛ 330 кВ Алитус – Гродно (ВЛ 368);;с отключением;ТП;да;09:30 25.10.22;19:30 31.10.25;09:30 25.10.22;АР;НО;;ВЗ;Да; 
11098;333440;Litgrid AB;ЛЭП.ЛЭП 330 кВ;;Открытая;ПС 400 кВ Алитус;ВЛ 330 кВ Алитус – Гродно (ВЛ 368);;с отключением;ТП;да;08:00 25.10.22;24:00 31.12.25;08:00 25.10.22;КР;НПЛ;;ВЗ;Да; 
11505;0;ОДУ Северо-Запада;АСДУ.СС;;Не рассмотренная;ОДУ Северо-Запада;Система коллективного отображения информации тренажерной подготовки персонала (СКОИ ТПП);;без отключения;Пусто;;;;10:00 30.11.23;П;НПЛ;;00:20;; 
12037;19277;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 750 кВ Ленинградская;СДТУ направления Ленинградское РДУ – ПС 750 кВ Ленинградская;;с отключением;П 2023-АСУ-2;;;;09:00 14.11.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12216;20097;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Завод Ильич;УОН 2 комплект;;без отключения;Пусто;;;;09:00 16.11.23;ЗРР;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12217;20096;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Завод Ильич;УОН 1 комплект;;без отключения;Пусто;;;;09:00 16.11.23;ЗРР;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12303;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;ПАК Система мониторинга фактического действия систем АРЧМ генераторов (ПАК СМ);;с отключением;Пусто;;;;09:00 15.12.23;П;НПЛ;;00:30;; 
12331;21014;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Василеостровская;ДЗШ 1 комплект 1 СШ 330 (7UT63);;с отключением;Б;;;;06:00 04.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12360;20270;Ленинградское РДУ;РЗА.ПА.УПАСК;;Не рассмотренная;ПС 400 кВ Выборгская;ПРД/ПРМ Tebit по ВОЛС ПС 400 кВ Выборгская – ПС 330 кВ Каменногорская;;с отключением;П;;;;09:00 27.11.23;ВПр;НПЛ;;00:20;;без отключения ЛЭП (оборудования)
12376;20305;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Не рассмотренная;МЭС Северо-Запада;ВЛ 330 кВ Восточная – Выборгская II цепь;;с отключением;ТП 45,46 от 24.11.2021;да;;;08:00 01.12.23;КР;ПЛ;;72:00;;под наведенным напряжением
12378;20637;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Завод Ильич;УОН 1 комплект;;с отключением;КП;;;;09:00 23.11.23;ВКЛ;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
