Список заявок на 02:26 28.11.23;;;;;;;;;;;;;;;;;;;;
№ свой;№ чужой;Предприятие;Комплекс;;Состояние заявки;Объект;Оборудование;Оборудование, выводимое в ремонт;Состояние оборудования по заявке;Программа переключений ;Актуализация;Разрешенное время - начало ;Разрешенное время -  конец;Просимое время - начало;Ремонт;Категория;Просрочена;А\Г;Заземление;Условия производства
12573;21043;Ленинградское РДУ;ЭНРГ.Б;;Открытая;Северная ТЭЦ (ТЭЦ-21);Блок 2;;без отключения;Пусто;;14:01 27.11.23;14:00 29.11.23;14:01 27.11.23;ИСП;ПЛ;;ВЗ;; 
12441;20720;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;Киришская ГРЭС;СДТУ направления Ленинградское РДУ – Киришская ГРЭС;;с отключением;П;;10:00 27.11.23;17:00 01.12.23;10:00 27.11.23;ВП;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12250;6385;Новгородское РДУ;РЗА.РЗ;;Разрешенная;ПС 330 кВ Псков;Комплект РЗА В 412 АТ-1 (АУВ, УРОВ, АПВ) (6MD66);;с отключением;Б от 27.11.23;;09:00 27.11.23;24:00 28.11.23;09:00 27.11.23;ВПр;НПЛ;;02:00;; 
12351;20178;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 220 кВ Парголово;СДТУ направления Ленинградское РДУ – ПС 220 кВ Парголово;;с отключением;П 2023-АСУ-ТО-Г;;09:00 27.11.23;16:00 01.12.23;09:00 27.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12352;20180;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 330 кВ Колпино;СДТУ направления Ленинградское РДУ – ПС 330 кВ Колпино;;с отключением;П 2023-АСУ-ТО2;;09:00 27.11.23;16:00 01.12.23;09:00 27.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12353;20181;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 220 кВ Проспект Испытателей;СДТУ направления Ленинградское РДУ – ПС 220 кВ Проспект Испытателей;;с отключением;П 2023-АСУ-ТО2;;09:00 27.11.23;16:00 01.12.23;09:00 27.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12354;20182;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 220 кВ Полупроводники;СДТУ направления Ленинградское РДУ – ПС 220 кВ Полупроводники;;с отключением;П 2023-АСУ-ТО2;;09:00 27.11.23;16:00 01.12.23;09:00 27.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12355;20185;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 330 кВ Центральная;СДТУ направления Ленинградское РДУ – ПС 330 кВ Центральная;;с отключением;П 2023-АСУ-2;;09:00 27.11.23;16:00 01.12.23;09:00 27.11.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12358;20269;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 400 кВ Выборгская;СДТУ направления Ленинградское РДУ – ПС 400 кВ Выборгская;;с отключением;Пусто;;09:00 27.11.23;24:00 30.11.23;09:00 27.11.23;ВП;НПЛ;;00:20;;без отключения ЛЭП (оборудования)
12359;20304;Ленинградское РДУ;РЗА.ПА.УПАСК;;Открытая;ПС 400 кВ Выборгская;ПРД/ПРМ Tebit по ВОЛС ПС 400 кВ Выборгская – ПС 330 кВ Восточная;;с отключением;ТП ОДУ № 171.1 ПА от 16.11.2020 / № 171.2 ПА от 16.11.2020;;09:00 27.11.23;24:00 30.11.23;09:00 27.11.23;ВПр;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
